,name,time,content,source,url
0,BABA,662134800,ALIBABA INVESTIGATION: Labaton Sucharow Announces New Investigation of Alibaba (NYSE: BABA) on Antitrust Probe and Strongly Encourages Investors with Losses to Contact the Firm,Business Wire,https://finance.yahoo.com/news/alibaba-investigation-labaton-sucharow-announces-192000124.html
1,BABA,662089500,China Launches Antitrust Probe Against Alibaba,Motley Fool,https://www.fool.com/investing/2020/12/24/china-launches-antitrust-probe-against-alibaba/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article
2,BABA,662089140,Why Alibaba Just Lost $100 Billion in Market Value,Motley Fool,https://www.fool.com/investing/2020/12/24/why-alibaba-just-lost-100-billion-in-market-value/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article
3,BABA,662088780,Alibaba U.S.-Listed Shares Tumble Most Ever on China Monopoly Probe,Bloomberg,https://finance.yahoo.com/news/alibaba-u-listed-shares-tumble-162743750.html
4,BABA,662088420,"Stock Market Rally Near Highs Amid Stimulus Deal Twists; China Probes Alibaba, Apple Car Buzz Returns",Investor's Business Daily,https://www.investors.com/news/stock-market-rally-near-highs-stimulus-deal-china-probes-aliababa-apple-car-buzz/?src=A00220
5,BABA,662088060,Stocks End Modestly Higher as Brexit Deal Is Finalized,TheStreet.com,https://www.thestreet.com/markets/stock-market-dow-jones-industrial-average-brexit-alibaba-122420?puc=yahoo&cm_ven=YAHOO
6,BABA,662088000,Alibaba (BABA) Faces Investigation Over Monopolistic Behaviour,Zacks,https://finance.yahoo.com/news/alibaba-baba-faces-investigation-over-182006151.html
7,BABA,662088000,"The Klein Law Firm Reminds Investors of Class Actions on Behalf of Shareholders of BABA, YY and KNDI",ACCESSWIRE,https://finance.yahoo.com/news/klein-law-firm-reminds-investors-182000702.html
8,BABA,662087640,Alibaba stock suffers record fall after antitrust probe in China,MarketWatch,https://www.marketwatch.com/story/alibaba-stock-suffering-record-drop-after-antitrust-probe-in-china-2020-12-24?siteid=yhoof2
9,BABA,662086740,Alibaba Group Holding Limited Investors: Last Days to Participate Actively in the Class Action Lawsuit; Portnoy Law Firm,GlobeNewswire,https://finance.yahoo.com/news/alibaba-group-holding-limited-investors-175900104.html
10,BABA,662085660,Alibaba Stock Sinks Over Monopoly Probe in China. One Analyst Thinks the Selloff Is an Overreaction.,Barrons.com,https://www.barrons.com/articles/alibaba-faces-a-crackdown-in-china-its-stock-is-sinking-51608831667?siteid=yhoof2
11,BABA,662083440,Stocks Pare Gains; What The Santa Claus Rally Says About The Stock Market,Investor's Business Daily,https://www.investors.com/market-trend/stock-market-today/santa-claus-rally-says-about-stock-market-small-caps-cool/?src=A00220
